Time,TRACENO,FFID,CHAN,SOU_X,SOU_Y,FRONT_X,FRONT_Y,TAIL_X,TAIL_Y,Feathering
09:25:46.003,40,1552452,16,235059.09265,3781345.86569,235081.9461,3781354.2731,235032.724,3781371.8461,20.247297876226867
09:25:46.345,40,1552452,16,235059.09265,3781345.86569,235083.0402,3781354.2417,235033.0834,3781371.8697,20.036147251366003
09:25:46.582,49,1552453,1,235060.15533,3781345.76173,235083.0402,3781354.2417,235033.0834,3781371.8697,20.036147251366003
09:25:46.858,49,1552453,1,235060.15533,3781345.76173,235083.0402,3781354.2417,235033.8449,3781371.8558,20.299620564997042
09:25:47.040,88,1552454,16,235061.23851,3781345.65577,235083.7659,3781354.0884,235033.8449,3781371.8558,20.191169973594867
09:25:47.343,88,1552454,16,235061.23851,3781345.65577,235083.7659,3781354.0884,235035.2011,3781371.7985,20.63536892148386
09:25:47.581,97,1552455,1,235062.19157,3781345.56253,235083.7659,3781354.0884,235036.0472,3781371.5625,20.712214007311104
09:25:47.858,97,1552455,1,235062.19157,3781345.56253,235085.5046,3781353.9053,235036.0472,3781371.5625,20.24749773278461
09:25:48.028,136,1552456,16,235063.18454,3781345.46539,235086.5996,3781353.4096,235036.0472,3781371.5625,20.352744623101216
09:25:48.381,136,1552456,16,235063.18454,3781345.46539,235086.5996,3781353.4096,235036.9446,3781371.4054,20.52136086994426
09:25:48.581,145,1552457,1,235064.19666,3781345.36638,235086.5996,3781353.4096,235037.6028,3781371.4252,20.78793597567403
09:25:48.858,145,1552457,1,235064.19666,3781345.36638,235086.5996,3781353.4096,235037.6028,3781371.4252,20.78793597567403
09:25:49.143,184,1552458,16,235065.20616,3781345.26763,235087.2208,3781353.3296,235037.6028,3781371.4252,20.63682647831513
09:25:49.381,184,1552458,16,235065.20616,3781345.26763,235088.8963,3781353.7783,235038.355,3781371.3078,19.728344246479196
09:25:49.600,193,1552459,1,235066.20474,3781345.16994,235088.8963,3781353.7783,235038.355,3781371.3078,19.728344246479196
09:25:49.859,193,1552459,1,235066.20474,3781345.16994,235089.694,3781353.8062,235039.6209,3781371.3262,19.88435284036632
